t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.1291666667,0.0048053805,0.0000392239,0.0000000037,0.0043105938,0.0001753908,0.0000009589,-0.0297197653,-0.0059556637,-0.0000804436
0.1293333333,0.0047943495,0.0000387824,0.0000000036,0.0043056433,0.0001744010,0.0000009455,-0.0296856339,-0.0059220541,-0.0000798458
0.1295000000,0.0047833437,0.0000383459,0.0000000035,0.0043006985,0.0001734168,0.0000009323,-0.0296515417,-0.0058886342,-0.0000792432
0.1296666667,0.0047723632,0.0000379143,0.0000000034,0.0042957594,0.0001724381,0.0000009191,-0.0296174887,-0.0058554029,-0.0000786362
0.1298333333,0.0047614080,0.0000374876,0.0000000033,0.0042908260,0.0001714649,0.0000009061,-0.0295834747,-0.0058223590,-0.0000780250
0.1300000000,0.0047504778,0.0000370657,0.0000000033,0.0042858983,0.0001704973,0.0000008931,-0.0295494998,-0.0057895016,-0.0000774099
0.1301666667,0.0047395728,0.0000366485,0.0000000032,0.0042809761,0.0001695351,0.0000008803,-0.0295155640,-0.0057568297,-0.0000767911
0.1303333333,0.0047286928,0.0000362360,0.0000000031,0.0042760597,0.0001685783,0.0000008675,-0.0294816671,-0.0057243420,-0.0000761688
0.1305000000,0.0047178378,0.0000358282,0.0000000030,0.0042711489,0.0001676269,0.0000008549,-0.0294478091,-0.0056920377,-0.0000755432
0.1306666667,0.0047070077,0.0000354249,0.0000000030,0.0042662437,0.0001666809,0.0000008423,-0.0294139900,-0.0056599157,-0.0000749148
0.1308333333,0.0046962025,0.0000350262,0.0000000029,0.0042613442,0.0001657403,0.0000008299,-0.0293802098,-0.0056279749,-0.0000742835
0.1310000000,0.0046854220,0.0000346320,0.0000000028,0.0042564503,0.0001648049,0.0000008176,-0.0293464683,-0.0055962144,-0.0000736497
