t,Ekin,Epot,Etot
0.2433333333,0.0001119678,0.0005376041,0.0006495719
0.2435000000,0.0001079687,0.0005415896,0.0006495584
0.2436666667,0.0001040462,0.0005454898,0.0006495360
0.2438333333,0.0001002023,0.0005493029,0.0006495052
0.2440000000,0.0000964392,0.0005530276,0.0006494667
0.2441666667,0.0000927588,0.0005566625,0.0006494213
0.2443333333,0.0000891633,0.0005602066,0.0006493699
0.2445000000,0.0000856546,0.0005636584,0.0006493130
0.2446666667,0.0000822347,0.0005670162,0.0006492509
0.2448333333,0.0000789056,0.0005702781,0.0006491837
0.2450000000,0.0000756692,0.0005734423,0.0006491114
0.2451666667,0.0000725273,0.0005765071,0.0006490344
0.2453333333,0.0000694817,0.0005794713,0.0006489530
0.2455000000,0.0000665341,0.0005823336,0.0006488677
0.2456666667,0.0000636864,0.0005850928,0.0006487792
0.2458333333,0.0000609401,0.0005877480,0.0006486882
0.2460000000,0.0000582971,0.0005902982,0.0006485953
0.2461666667,0.0000557588,0.0005927424,0.0006485012
0.2463333333,0.0000533268,0.0005950795,0.0006484063
0.2465000000,0.0000510028,0.0005973082,0.0006483109
0.2466666667,0.0000487881,0.0005994272,0.0006482153
0.2468333333,0.0000466843,0.0006014354,0.0006481197
0.2470000000,0.0000446927,0.0006033318,0.0006480245
0.2471666667,0.0000428146,0.0006051157,0.0006479303
0.2473333333,0.0000410514,0.0006067863,0.0006478377
0.2475000000,0.0000394042,0.0006083431,0.0006477473
0.2476666667,0.0000378743,0.0006097852,0.0006476595
0.2478333333,0.0000364629,0.0006111120,0.0006475748
0.2480000000,0.0000351709,0.0006123226,0.0006474935
0.2481666667,0.0000339996,0.0006134166,0.0006474162
0.2483333333,0.0000329498,0.0006143933,0.0006473431
0.2485000000,0.0000320226,0.0006152523,0.0006472749
0.2486666667,0.0000312188,0.0006159932,0.0006472120
0.2488333333,0.0000305392,0.0006166156,0.0006471548
0.2490000000,0.0000299847,0.0006171191,0.0006471038
0.2491666667,0.0000295559,0.0006175036,0.0006470595
0.2493333333,0.0000292536,0.0006177686,0.0006470222
0.2495000000,0.0000290784,0.0006179140,0.0006469924
0.2496666667,0.0000290309,0.0006179397,0.0006469705
0.2498333333,0.0000291115,0.0006178455,0.0006469570
0.2500000000,0.0000293206,0.0006176316,0.0006469522
0.2501666667,0.0000296588,0.0006172978,0.0006469566
0.2503333333,0.0000301263,0.0006168444,0.0006469707
0.2505000000,0.0000307234,0.0006162714,0.0006469948
0.2506666667,0.0000314504,0.0006155789,0.0006470294
0.2508333333,0.0000323075,0.0006147672,0.0006470747
0.2510000000,0.0000332947,0.0006138366,0.0006471313
0.2511666667,0.0000344121,0.0006127874,0.0006471996
0.2513333333,0.0000356597,0.0006116201,0.0006472799
0.2515000000,0.0000370375,0.0006103351,0.0006473727
0.2516666667,0.0000385454,0.0006089330,0.0006474784
0.2518333333,0.0000401830,0.0006074143,0.0006475973
0.2520000000,0.0000419502,0.0006057797,0.0006477299
0.2521666667,0.0000438468,0.0006040296,0.0006478764
0.2523333333,0.0000458723,0.0006021647,0.0006480370
0.2525000000,0.0000480264,0.0006001857,0.0006482121
0.2526666667,0.0000503086,0.0005980933,0.0006484019
0.2528333333,0.0000527184,0.0005958886,0.0006486070
0.2530000000,0.0000552552,0.0005935726,0.0006488278
0.2531666667,0.0000579184,0.0005911465,0.0006490648
0.2533333333,0.0000607072,0.0005886111,0.0006493183
0.2535000000,0.0000636209,0.0005859676,0.0006495885
0.2536666667,0.0000666586,0.0005832170,0.0006498757
0.2538333333,0.0000698196,0.0005803604,0.0006501800
0.2540000000,0.0000731029,0.0005773988,0.0006505017
0.2541666667,0.0000765074,0.0005743334,0.0006508409
0.2543333333,0.0000800323,0.0005711655,0.0006511978
0.2545000000,0.0000836763,0.0005678964,0.0006515727
