t,Ekin,Epot,Etot
0.0525000000,0.0370644536,0.0736506082,0.1107150618
0.0526666667,0.0406665315,0.0700465719,0.1107131034
0.0528333333,0.0442330967,0.0664781436,0.1107112403
0.0530000000,0.0477343806,0.0629751126,0.1107094933
0.0531666667,0.0511424678,0.0595654128,0.1107078806
0.0533333333,0.0544315868,0.0562748310,0.1107064178
0.0535000000,0.0575783577,0.0531267597,0.1107051174
0.0536666667,0.0605619926,0.0501419962,0.1107039888
0.0538333333,0.0633644478,0.0473385909,0.1107030386
0.0540000000,0.0659705272,0.0447317430,0.1107022703
0.0541666667,0.0683679379,0.0423337463,0.1107016842
0.0543333333,0.0705472983,0.0401539799,0.1107012782
0.0545000000,0.0725021024,0.0381989450,0.1107010474
0.0546666667,0.0742286426,0.0364723419,0.1107009845
0.0548333333,0.0757258940,0.0349751862,0.1107010802
0.0550000000,0.0769953658,0.0337059576,0.1107013234
0.0551666667,0.0780409232,0.0326607781,0.1107017013
0.0553333333,0.0788685856,0.0318336145,0.1107022001
0.0555000000,0.0794863047,0.0312165004,0.1107028051
0.0556666667,0.0799037298,0.0307997712,0.1107035009
0.0558333333,0.0801319626,0.0305723094,0.1107042720
0.0560000000,0.0801833091,0.0305217937,0.1107051028
0.0561666667,0.0800710310,0.0306349470,0.1107059780
0.0563333333,0.0798091015,0.0308977813,0.1107068828
0.0565000000,0.0794119703,0.0312958330,0.1107078033
0.0566666667,0.0788943393,0.0318143871,0.1107087264
0.0568333333,0.0782709539,0.0324386861,0.1107096400
0.0570000000,0.0775564102,0.0331541231,0.1107105333
0.0571666667,0.0767649822,0.0339464145,0.1107113967
0.0573333333,0.0759104678,0.0348017542,0.1107122220
0.0575000000,0.0750060567,0.0357069453,0.1107130021
0.0576666667,0.0740642192,0.0366495122,0.1107137314
0.0578333333,0.0730966162,0.0376177895,0.1107144057
0.0580000000,0.0721140296,0.0386009921,0.1107150218
0.0581666667,0.0711263134,0.0395892644,0.1107155778
0.0583333333,0.0701423623,0.0405737106,0.1107160729
0.0585000000,0.0691700986,0.0415464087,0.1107165073
0.0586666667,0.0682164747,0.0425004073,0.1107168820
0.0588333333,0.0672874893,0.0434297095,0.1107171988
0.0590000000,0.0663882159,0.0443292443,0.1107174602
0.0591666667,0.0655228425,0.0451948266,0.1107176691
0.0593333333,0.0646947192,0.0460231098,0.1107178291
0.0595000000,0.0639064128,0.0468115310,0.1107179438
0.0596666667,0.0631597667,0.0475582506,0.1107180172
0.0598333333,0.0624559640,0.0482620895,0.1107180535
0.0600000000,0.0617955936,0.0489224631,0.1107180568
0.0601666667,0.0611787156,0.0495393155,0.1107180311
0.0603333333,0.0606049272,0.0501130533,0.1107179805
0.0605000000,0.0600734271,0.0506444818,0.1107179089
0.0606666667,0.0595830768,0.0511347432,0.1107178199
0.0608333333,0.0591324593,0.0515852577,0.1107177170
0.0610000000,0.0587199342,0.0519976691,0.1107176033
0.0611666667,0.0583436885,0.0523737933,0.1107174818
0.0613333333,0.0580017825,0.0527155724,0.1107173550
0.0615000000,0.0576921925,0.0530250328,0.1107172253
0.0616666667,0.0574128470,0.0533042477,0.1107170947
0.0618333333,0.0571616599,0.0535553050,0.1107169649
0.0620000000,0.0569365587,0.0537802788,0.1107168376
0.0621666667,0.0567355079,0.0539812059,0.1107167138
0.0623333333,0.0565565288,0.0541600658,0.1107165946
0.0625000000,0.0563977159,0.0543187648,0.1107164807
0.0626666667,0.0562572488,0.0544591240,0.1107163728
0.0628333333,0.0561334021,0.0545828692,0.1107162713
0.0630000000,0.0560245513,0.0546916250,0.1107161763
0.0631666667,0.0559291774,0.0547869107,0.1107160881
0.0633333333,0.0558458684,0.0548701381,0.1107160065
0.0635000000,0.0557733195,0.0549426121,0.1107159316
0.0636666667,0.0557103314,0.0550055317,0.1107158631
0.0638333333,0.0556558076,0.0550599932,0.1107158008
0.0640000000,0.0556087509,0.0551069935,0.1107157444
0.0641666667,0.0555682581,0.0551474355,0.1107156936
0.0643333333,0.0555335155,0.0551821325,0.1107156480
0.0645000000,0.0555037932,0.0552118141,0.1107156073
0.0646666667,0.0554784391,0.0552371320,0.1107155711
0.0648333333,0.0554568733,0.0552586658,0.1107155391
0.0650000000,0.0554385820,0.0552769288,0.1107155108
0.0651666667,0.0554231121,0.0552923738,0.1107154859
0.0653333333,0.0554100653,0.0553053989,0.1107154642
0.0655000000,0.0553990930,0.0553163522,0.1107154452
0.0656666667,0.0553898911,0.0553255376,0.1107154287
0.0658333333,0.0553821954,0.0553332191,0.1107154145
0.0660000000,0.0553757772,0.0553396249,0.1107154022
0.0661666667,0.0553704393,0.0553449523,0.1107153916
0.0663333333,0.0553660119,0.0553493706,0.1107153825
0.0665000000,0.0553623499,0.0553530249,0.1107153748
0.0666666667,0.0553593292,0.0553560391,0.1107153682
0.0668333333,0.0553568442,0.0553585185,0.1107153627
0.0670000000,0.0553548055,0.0553605524,0.1107153579
0.0671666667,0.0553531375,0.0553622165,0.1107153540
0.0673333333,0.0553517764,0.0553635742,0.1107153506
0.0675000000,0.0553506688,0.0553646790,0.1107153479
0.0676666667,0.0553497699,0.0553655757,0.1107153455
0.0678333333,0.0553490422,0.0553663014,0.1107153436
0.0680000000,0.0553484548,0.0553668872,0.1107153420
0.0681666667,0.0553479819,0.0553673588,0.1107153407
0.0683333333,0.0553476021,0.0553677375,0.1107153396
0.0685000000,0.0553472980,0.0553680407,0.1107153387
0.0686666667,0.0553470550,0.0553682829,0.1107153379
0.0688333333,0.0553468615,0.0553684758,0.1107153373
0.0690000000,0.0553467078,0.0553686291,0.1107153368
0.0691666667,0.0553465859,0.0553687505,0.1107153365
0.0693333333,0.0553464896,0.0553688465,0.1107153361
0.0695000000,0.0553464137,0.0553689222,0.1107153359
0.0696666667,0.0553463540,0.0553689817,0.1107153357
0.0698333333,0.0553463072,0.0553690283,0.1107153355
0.0700000000,0.0553462706,0.0553690648,0.1107153354
0.0701666667,0.0553462421,0.0553690932,0.1107153353
0.0703333333,0.0553462198,0.0553691153,0.1107153352
0.0705000000,0.0553462026,0.0553691325,0.1107153351
0.0706666667,0.0553461892,0.0553691458,0.1107153351
0.0708333333,0.0553461789,0.0553691561,0.1107153350
0.0710000000,0.0553461710,0.0553691640,0.1107153350
0.0711666667,0.0553461649,0.0553691700,0.1107153350
0.0713333333,0.0553461603,0.0553691747,0.1107153349
0.0715000000,0.0553461567,0.0553691782,0.1107153349
0.0716666667,0.0553461540,0.0553691809,0.1107153349
0.0718333333,0.0553461519,0.0553691830,0.1107153349
0.0720000000,0.0553461503,0.0553691845,0.1107153349
0.0721666667,0.0553461492,0.0553691857,0.1107153349
0.0723333333,0.0553461483,0.0553691866,0.1107153349
0.0725000000,0.0553461476,0.0553691873,0.1107153349
0.0726666667,0.0553461471,0.0553691878,0.1107153349
0.0728333333,0.0553461467,0.0553691882,0.1107153349
0.0730000000,0.0553461464,0.0553691884,0.1107153349
0.0731666667,0.0553461462,0.0553691886,0.1107153349
0.0733333333,0.0553461461,0.0553691888,0.1107153349
0.0735000000,0.0553461460,0.0553691889,0.1107153349
0.0736666667,0.0553461459,0.0553691890,0.1107153349
0.0738333333,0.0553461458,0.0553691891,0.1107153349
