iter,S,delta
836,2.8367,3.3221e-05
837,2.83661,3.30979e-05
838,2.83652,3.29754e-05
839,2.83642,3.28532e-05
840,2.83633,3.27316e-05
841,2.83624,3.26103e-05
842,2.83614,3.24895e-05
843,2.83605,3.23692e-05
844,2.83596,3.22493e-05
845,2.83587,3.21298e-05
846,2.83578,3.20107e-05
847,2.83569,3.18921e-05
848,2.8356,3.1774e-05
849,2.83551,3.16562e-05
850,2.83542,3.15389e-05
851,2.83533,3.1422e-05
852,2.83524,3.13056e-05
853,2.83515,3.11895e-05
854,2.83507,3.10739e-05
855,2.83498,3.09587e-05
856,2.83489,3.0844e-05
857,2.8348,3.07296e-05
858,2.83472,3.06157e-05
859,2.83463,3.05022e-05
860,2.83454,3.03891e-05
861,2.83446,3.02764e-05
862,2.83437,3.01641e-05
863,2.83429,3.00522e-05
864,2.8342,2.99408e-05
865,2.83412,2.98297e-05
866,2.83403,2.97191e-05
867,2.83395,2.96088e-05
868,2.83387,2.9499e-05
869,2.83378,2.93896e-05
870,2.8337,2.92805e-05
871,2.83362,2.91719e-05
872,2.83353,2.90637e-05
873,2.83345,2.89558e-05
874,2.83337,2.88484e-05
875,2.83329,2.87413e-05
876,2.83321,2.86346e-05
877,2.83313,2.85284e-05
878,2.83305,2.84225e-05
879,2.83297,2.8317e-05
880,2.83289,2.82119e-05
881,2.83281,2.81071e-05
882,2.83273,2.80028e-05
883,2.83265,2.78988e-05
884,2.83257,2.77953e-05
885,2.83249,2.76921e-05
886,2.83241,2.75892e-05
887,2.83234,2.74868e-05
888,2.83226,2.73847e-05
889,2.83218,2.7283e-05
890,2.8321,2.71817e-05
891,2.83203,2.70807e-05
892,2.83195,2.69801e-05
893,2.83187,2.68799e-05
894,2.8318,2.67801e-05
895,2.83172,2.66806e-05
896,2.83165,2.65815e-05
897,2.83157,2.64827e-05
898,2.8315,2.63843e-05
899,2.83142,2.62863e-05
900,2.83135,2.61886e-05
901,2.83128,2.60913e-05
902,2.8312,2.59943e-05
903,2.83113,2.58977e-05
904,2.83106,2.58015e-05
905,2.83098,2.57056e-05
906,2.83091,2.561e-05
907,2.83084,2.55148e-05
908,2.83077,2.542e-05
909,2.83069,2.53255e-05
910,2.83062,2.52313e-05
911,2.83055,2.51375e-05
912,2.83048,2.50441e-05
913,2.83041,2.4951e-05
914,2.83034,2.48582e-05
915,2.83027,2.47657e-05
916,2.8302,2.46736e-05
917,2.83013,2.45819e-05
918,2.83006,2.44905e-05
919,2.82999,2.43994e-05
920,2.82992,2.43086e-05
921,2.82986,2.42182e-05
922,2.82979,2.41281e-05
923,2.82972,2.40383e-05
924,2.82965,2.39489e-05
925,2.82958,2.38598e-05
926,2.82952,2.3771e-05
927,2.82945,2.36826e-05
928,2.82938,2.35945e-05
929,2.82932,2.35067e-05
930,2.82925,2.34192e-05
931,2.82918,2.3332e-05
932,2.82912,2.32452e-05
933,2.82905,2.31587e-05
934,2.82899,2.30725e-05
935,2.82892,2.29866e-05
936,2.82886,2.29011e-05
937,2.82879,2.28158e-05
938,2.82873,2.27309e-05
939,2.82866,2.26462e-05
940,2.8286,2.25619e-05
941,2.82854,2.24779e-05
942,2.82847,2.23942e-05
943,2.82841,2.23108e-05
944,2.82835,2.22278e-05
945,2.82829,2.2145e-05
946,2.82822,2.20625e-05
947,2.82816,2.19804e-05
948,2.8281,2.18985e-05
949,2.82804,2.18169e-05
950,2.82798,2.17357e-05
951,2.82791,2.16547e-05
952,2.82785,2.1574e-05
953,2.82779,2.14937e-05
954,2.82773,2.14136e-05
955,2.82767,2.13338e-05
956,2.82761,2.12543e-05
957,2.82755,2.11751e-05
958,2.82749,2.10962e-05
959,2.82743,2.10176e-05
960,2.82737,2.09393e-05
961,2.82731,2.08613e-05
962,2.82726,2.07835e-05
963,2.8272,2.0706e-05
964,2.82714,2.06289e-05
965,2.82708,2.0552e-05
966,2.82702,2.04754e-05
967,2.82696,2.0399e-05
968,2.82691,2.0323e-05
969,2.82685,2.02472e-05
970,2.82679,2.01718e-05
971,2.82674,2.00965e-05
972,2.82668,2.00216e-05
973,2.82662,1.9947e-05
974,2.82657,1.98726e-05
975,2.82651,1.97985e-05
976,2.82646,1.97246e-05
977,2.8264,1.96511e-05
978,2.82634,1.95778e-05
979,2.82629,1.95048e-05
980,2.82623,1.9432e-05
981,2.82618,1.93595e-05
982,2.82613,1.92873e-05
983,2.82607,1.92154e-05
984,2.82602,1.91437e-05
985,2.82596,1.90723e-05
986,2.82591,1.90011e-05
987,2.82586,1.89302e-05
988,2.8258,1.88596e-05
989,2.82575,1.87892e-05
990,2.8257,1.87191e-05
991,2.82564,1.86493e-05
992,2.82559,1.85797e-05
993,2.82554,1.85103e-05
994,2.82549,1.84412e-05
995,2.82544,1.83724e-05
996,2.82538,1.83038e-05
